year,Base case cost,Modeled transmission and interties
2021,561948.08568,1213657.49087
2022,581325.605876,1235203.16109
2023,595359.767225,1250058.43755
2024,605533.730632,1262995.53496
2025,619119.423307,1277345.60765
2026,635146.438628,1295388.02126
2027,649254.069248,1311404.76152
2028,659492.318268,1323336.11767
2029,676648.923629,1342650.007
2030,687476.457426,1354159.9592
2031,704202.961431,1372988.89691
2032,720415.180539,1392328.67529
2033,738034.030063,1410938.82476
2034,756243.694974,1431302.0173
2035,768598.777361,1445482.93025
2036,787472.72693,1466592.90789
2037,798534.444027,1479454.5144
2038,817506.352623,1501770.55476
2039,833912.959178,1519144.53008
2040,854289.96758,1541809.78
