year,Base case cost,Modeled non-residential ashp
2017,285140.48932,201293.818792
2018,307069.423832,222433.727679
2019,338744.551462,252969.151627
2020,353363.841137,267062.424219
2021,363922.217013,277240.898868
2022,372044.04461,285070.494752
2023,377729.323929,290551.211871
2024,381790.237727,294466.009813
2025,387475.517045,299946.726932
2026,393972.979123,306210.403639
2027,399658.258441,311691.120758
2028,403719.17224,315605.9187
2029,410216.634318,321869.595408
2030,414277.548116,325784.39335
2031,420775.010194,332048.070057
