year,Base case cost,Modeled residential ashp
2017,1006403.66116,2337607.02848
2018,1100670.19833,2401555.63438
2019,1221662.0557,2489462.12997
2020,1287556.11094,2528650.42721
2021,1320264.60012,2537423.12159
2022,1345571.9718,2539917.89899
2023,1356820.95033,2530120.69438
2024,1367790.98817,2520491.82039
2025,1378482.08531,2511020.79404
2026,1385805.88646,2497954.82011
2027,1399035.28946,2491538.10333
2028,1408680.35899,2482270.94531
2029,1411071.61332,2465820.12734
2030,1406480.16119,2443428.75169
2031,1410782.10481,2429328.32123
