year,Base case cost,Modeled non-residential ashp
2017,110465.551308,138297.622712
2018,123124.821442,147796.057353
2019,140962.883904,161342.150048
2020,149306.493765,167492.19256
2021,155348.418147,171855.544139
2022,159664.07842,174880.773457
2023,162828.895954,177016.453788
2024,165418.292117,178711.162893
2025,168295.398966,180637.865319
2026,172035.637869,183245.147493
2027,175200.455403,185410.923199
2028,177789.851567,187135.022318
2029,181530.09047,189763.57314
2030,183544.065264,191052.589397
2031,187284.304167,193694.501492
