year,Base case cost,Modeled transmission and interties
2021,435214.812858,1056070.41883
2022,452090.059619,1063852.05555
2023,464687.623924,1067300.98347
2024,476213.818251,1069846.25679
2025,493429.033942,1078786.78128
2026,510011.876234,1085976.64441
2027,523966.977024,1091784.58029
2028,536486.566803,1095036.04981
2029,552401.167413,1103346.79096
2030,563958.55155,1108504.78982
2031,581581.574009,1117773.2091
2032,599792.524388,1129132.52659
2033,618256.11223,1139647.4523
2034,637699.060108,1152692.00436
2035,651798.41377,1160211.17523
2036,671727.922686,1174132.4089
2037,686942.312059,1183200.07151
2038,706598.910138,1197161.78884
2039,727034.473723,1210756.67081
2040,749074.753039,1227571.98712
