year,Base case cost,Modeled non-residential ashp
2017,446295.95357,609573.323662
2018,497441.138373,656786.107613
2019,569509.353323,723313.212271
2020,603218.679671,754430.728966
2021,627628.881509,776964.103125
2022,645064.739964,793059.370381
2023,657851.036165,804862.566368
2024,668312.551238,814519.726722
2025,679936.456875,825249.904893
2026,695047.534204,839199.136514
2027,707833.830404,851002.332502
2028,718295.345478,860659.492856
2029,733406.422806,874608.724478
2030,741543.156752,882119.849197
2031,756654.23408,896069.080819
