year,Base case cost,Modeled residential ashp
2017,13699.8689822,95905.5697571
2018,14969.9030661,94548.5240515
2019,16747.9507836,93141.8708423
2020,17618.8312983,91899.2111412
2021,17347.8694701,89874.9842361
2022,17797.5243622,88722.1388112
2023,18074.235065,87630.0781993
2024,18316.35693,86569.4555549
2025,18627.6564707,85518.1290452
2026,18973.5448492,84482.7349407
2027,19284.8443898,83477.113639
2028,18568.4528506,81549.413645
2029,19872.8546333,81538.7024175
2030,20080.3876604,80619.2733151
2031,20460.8648768,79684.4260926
