year,Base case cost,Modeled transmission and interties
2021,311838.792537,471800.007729
2022,322678.108856,476891.396146
2023,329348.457359,478744.965107
2024,335185.0123,479890.722831
2025,342689.154366,482400.147921
2026,351027.089995,486161.39877
2027,358531.232062,488858.955183
2028,364367.787002,490381.08109
2029,372705.722632,494065.669002
2030,377708.484009,494955.390298
2031,386880.213202,499618.698047
2032,396051.942394,504364.562136
2033,405223.671586,509191.047563
2034,413506.140262,513636.206589
2035,420162.174713,516183.097257
2036,430146.226389,522028.602366
2037,435970.256533,523918.019941
2038,445954.30821,529908.456067
2039,453442.346967,533899.452803
2040,464258.40295,540833.988542
