year,Base case cost,Modeled water and wastewater efficiency
2017,68778.7686117,53421.0363246
2018,73432.373648,56600.5497852
2019,79954.347935,61098.0503506
2020,83143.7196617,63251.0654618
2021,85265.2270938,64654.2655639
2022,86986.8681811,65778.015861
2023,88034.1334066,66428.7888246
2024,88951.8165131,66990.4201391
2025,90139.4834898,67744.2181317
2026,91465.2059236,68597.2652008
2027,92655.4892607,69356.777039
2028,93577.5693268,69929.231981
2029,94922.2200958,70801.5363964
2030,95728.4728728,71296.354032
2031,97194.3856601,72257.2529274
