year,Base case cost,Modeled transmission and interties
2021,176745.817144,1776108.57709
2022,187824.72138,1765180.30342
2023,197795.193181,1754064.21975
2024,206443.815309,1741768.83804
2025,215001.802985,1730124.00311
2026,223500.554087,1718114.41104
2027,231595.823365,1706932.19477
2028,239367.968541,1695739.61066
2029,241529.231068,1679121.05501
2030,243035.120666,1661715.36136
2031,249362.528203,1650212.21755
2032,259699.511245,1643525.79575
2033,271602.438959,1638967.72501
2034,283789.786289,1634631.65937
2035,291411.072604,1626767.52563
2036,299690.540356,1619578.50715
2037,303126.976252,1606776.75008
2038,309471.746126,1598227.60304
2039,316367.253249,1590219.49742
2040,326847.842534,1587042.08494
