year,Base case cost,Modeled transmission and interties
2021,165680.549904,2134047.91002
2022,170178.664381,2110977.48912
2023,173938.780863,2087429.09853
2024,176568.52485,2063677.58792
2025,179573.94655,2041302.18044
2026,184114.637834,2020441.10823
2027,187126.738248,1998914.22204
2028,189762.326111,1977569.39765
2029,193956.559061,1958438.74502
2030,196220.643408,1937459.78912
2031,199994.117319,1919331.18851
2032,204596.586717,1901887.9162
2033,208756.591252,1884847.50009
2034,213386.610349,1868809.68247
2035,216039.729838,1851173.37322
2036,220208.917607,1835614.09161
2037,222862.037096,1818562.72631
2038,227531.293642,1804459.15425
2039,230949.960825,1789479.12735
2040,235888.035645,1776173.87832
