year,Base case cost,Modeled residential ashp
2017,85730.0715688,419957.358608
2018,96978.3953564,384827.115668
2019,110971.898917,340870.254563
2020,118260.286453,314112.080564
2021,123839.556592,293773.152466
2022,127660.204773,274541.72599
2023,129952.593682,259270.855144
2024,131313.100565,244609.073546
2025,133415.434215,228282.375556
2026,136446.463767,211786.571509
2027,138719.735931,197372.535879
2028,140993.008095,183164.808628
2029,139417.289724,163995.432116
2030,137836.430929,148960.064652
2031,138845.232333,131449.966554
