year,Base case cost,Modeled residential ashp
2017,1146712.63092,2200299.10697
2018,1287594.83614,2287237.95466
2019,1476198.81875,2408387.85473
2020,1570402.34401,2462017.27293
2021,1641544.34526,2500519.24424
2022,1691053.14919,2522788.70691
2023,1731622.93577,2538986.64975
2024,1767227.6357,2553078.97545
2025,1803589.36228,2566992.50193
2026,1849335.56622,2588084.53854
2027,1890307.22747,2607238.5294
2028,1922564.9667,2619245.30873
2029,1964451.85802,2637390.87925
2030,1992234.84666,2646772.61985
2031,2043450.01924,2674819.93515
