year,Base case cost,Modeled residential ashp
2017,75997.0780041,44741.3034559
2018,83247.2993589,45828.3263193
2019,93190.4600739,47319.1005321
2020,98162.0404314,48064.4876384
2021,101476.427336,48561.412376
2022,103962.217515,48934.1059292
2023,99072.1152589,42459.1812037
2024,100429.609568,42584.0358144
2025,101981.031635,42726.7267981
2026,104114.236978,42922.9269007
2027,105859.586804,43083.4542573
2028,99907.3364506,35898.5642059
2029,101714.399803,35944.7137041
2030,102617.93148,35967.7884533
2031,104605.701168,36018.5529013
