year,Base case cost,Modeled non-residential ashp
2017,61530.6150009,217985.023746
2018,68630.3013472,212812.163716
2019,78806.5184435,207318.896592
2020,83302.9864628,202695.406274
2021,86616.1734244,198327.074562
2022,88982.7355398,194179.468581
2023,90639.3290206,190218.207199
2024,92059.2662899,186376.729584
2025,93715.8597706,182588.524769
2026,95845.7656745,178819.359338
2027,97502.3591553,175196.194394
2028,98922.2964246,171684.889104
2029,100815.546117,168186.888844
2030,101998.827175,164861.518452
2031,104128.733078,161481.391397
