year,Base case cost,Modeled residential ashp
2017,31604.774362,285373.455984
2018,35887.3219372,270536.246177
2019,41938.6685214,252313.929541
2020,44331.5655241,240401.598004
2021,46897.2303061,230859.331456
2022,49002.9785284,222642.040701
2023,49915.2680223,214603.863053
2024,51550.1368774,207839.783689
2025,53346.0286644,200967.274544
2026,54558.4384067,192829.750886
2027,56404.7591087,186276.670395
2028,57226.1876394,179237.301083
2029,59255.4568884,172714.893553
2030,59950.9434716,166208.921448
2031,62167.5463907,159709.687565
