year,Base case cost,Modeled non-residential ashp
2017,21638639.8196,21852089.0228
2018,24143766.1199,23606126.9511
2019,27650942.9402,26061780.0507
2020,29404531.3504,27289606.6005
2021,30573590.2905,28108157.6337
2022,31408632.3906,28692836.9432
2023,32076666.0707,29160580.3907
2024,32577691.3308,29511387.9764
2025,33162220.8008,29920663.493
2026,33913758.6909,30446874.8714
2027,34581792.371,30914618.319
2028,35082817.631,31265425.9046
2029,35750851.3111,31733169.3522
2030,36168372.3611,32025509.0069
2031,37003414.4612,32610188.3163
