year,Base case cost,Modeled non-residential ashp
2017,161938.416728,151121.07238
2018,177387.55501,161452.07468
2019,198574.944654,175811.182493
2020,209168.639476,182765.767952
2021,216231.102691,187259.295995
2022,221527.950102,190527.444449
2023,225500.58566,192878.94878
2024,228590.413316,194622.550249
2025,232121.644924,196684.961309
2026,236977.088384,199683.917173
2027,240949.723942,202074.279099
2028,244039.551598,203855.82744
2029,248453.591108,206573.26152
2030,250660.610862,207754.50975
2031,255516.054322,210798.177983
