year,Base case cost,Modeled transmission and interties
2021,293790.349201,2287725.81249
2022,304545.329911,2271567.11027
2023,311195.101939,2252050.61996
2024,318327.750652,2233207.6609
2025,325022.934281,2214994.05432
2026,333816.13385,2199732.46779
2027,342088.613735,2183973.64053
2028,348311.516718,2167089.66994
2029,357711.718015,2153727.03122
2030,362429.983303,2136781.60793
2031,371902.84316,2124584.4315
2032,382480.718628,2114144.56847
2033,392053.484005,2103691.50856
2034,402163.619989,2093650.29671
2035,408631.745615,2080710.09641
2036,419398.836085,2072449.81311
2037,426405.846036,2060361.39554
2038,436641.620781,2052338.74807
2039,445389.40875,2043175.08656
2040,456765.014666,2037301.36949
