year,Base case cost,Modeled non-residential ashp
2017,2329225.51062,2642056.19134
2018,2494295.34087,2792237.79169
2019,2714506.59785,2994805.61376
2020,2836791.32266,3105410.03242
2021,2930962.00359,3189983.65547
2022,3015351.06695,3265563.37654
2023,3087232.95704,3329743.35329
2024,3150900.88573,3386167.48892
2025,3218678.20008,3446832.93119
2026,3301493.5118,3521696.10006
2027,3376937.69874,3589960.02026
2028,3447263.8778,3653551.82685
2029,3524544.90021,3723895.42486
2030,3593954.03844,3787130.37461
2031,3685532.32496,3871356.76269
