year,Base case diesel consumed,Hooper bay wind farm construction,Modeled wind power
2019,250689.107065,218797.207656,205077.182359
2020,257627.795164,225735.895755,212015.870459
2021,264743.768063,232851.868654,219131.843357
2022,272040.296652,240148.397243,226428.371946
2023,279431.946755,247540.047346,233820.02205
2024,287074.433978,255182.53457,241462.509273
2025,294717.688853,262825.789444,249105.764148
2026,302501.481602,270609.582194,256889.556897
2027,310291.176336,278399.276927,264679.251631
2028,318229.790025,286337.890616,272617.86532
2029,326391.668883,294499.769474,280779.744177
2030,334629.651551,302737.752142,289017.726845
2031,343017.06353,311125.164122,297405.138825
2032,351479.187602,319587.288193,305867.262896
2033,360016.430964,328124.531556,314404.506259
2034,368778.240123,336886.340714,323166.315418
2035,377689.810788,345797.911379,332077.886082
2036,386826.084322,354934.184913,341214.159617
2037,396112.109688,364220.210279,350500.184982
2038,405622.798682,373730.899273,360010.873976
