year,Base case cost,Modeled transmission and interties
2021,121060.603285,1349003.18477
2022,125169.709924,1332035.29188
2023,128014.476058,1314286.59878
2024,130227.071941,1296997.90049
2025,133071.838075,1280158.41594
2026,136232.689336,1264383.53401
2027,139077.455471,1248724.09694
2028,141606.136479,1233170.06402
2029,144766.98774,1218337.54727
2030,146316.776278,1203019.88544
2031,149785.492957,1189283.02125
2032,153254.209636,1175926.65589
2033,157038.264195,1163254.09014
2034,160506.980874,1150944.39642
2035,163029.683913,1138052.4131
2036,166813.738472,1126443.14815
2037,169021.103631,1113922.95845
2038,173120.49607,1102981.67431
2039,175958.536989,1091738.24751
2040,179631.25187,1081428.82069
