year,Base case cost,Modeled non-residential ashp
2017,123542.656749,180605.130728
2018,136204.462148,191442.009051
2019,153790.30298,206671.230976
2020,162583.223396,214084.930928
2021,168210.692462,218691.135146
2022,172783.011078,222367.714152
2023,175948.462428,224801.430982
2024,178410.480145,226618.102183
2025,181575.931494,229069.581585
2026,185093.099661,231842.647387
2027,188258.55101,234311.0665
2028,191072.285544,236474.642763
2029,194589.45371,239272.232954
2030,196699.75461,240825.553324
2031,200568.639593,243951.566205
