year,Base case cost,Modeled residential ashp
2017,204025.531306,442475.413975
2018,224935.97343,455111.790823
2019,253978.254159,473625.114282
2020,268499.394523,481795.062951
2021,277792.924356,486274.348826
2022,285343.917345,489556.985364
2023,290571.527876,491225.905201
2024,294637.447178,492111.687323
2025,299865.057709,493876.683627
2026,305673.513855,496103.908775
2027,310901.124386,497960.530742
2028,304970.792513,488868.391725
2029,310584.550469,491033.569319
2030,313952.805243,491655.295648
2031,320127.938994,494300.209263
