year,Base case cost,Modeled non-residential ashp
2017,178980.841868,268601.347309
2018,190473.353859,280658.209503
2019,217563.693241,308474.142003
2020,224872.906883,316121.965767
2021,230093.77377,321584.697027
2022,233574.351695,325226.517867
2023,236358.814035,328139.974539
2024,238447.160789,330325.067043
2025,240883.565337,332874.341631
2026,244016.085469,336151.980387
2027,260401.868035,352650.632994
2028,262608.416632,354953.92734
2029,265550.481428,358024.986469
2030,267389.271926,359944.398424
2031,270331.336722,363015.457552
