year,Base case cost,Modeled non-residential ashp
2017,404147.144661,461816.464594
2018,429663.671084,485120.895076
2019,460344.848498,513175.922777
2020,479532.545226,530413.729394
2021,493924.921496,543302.711316
2022,500915.839063,548888.963564
2023,510489.406398,557206.433724
2024,515508.054117,560881.82491
2025,525190.770692,569245.553422
2026,535963.816203,578885.770658
2027,541047.883313,582697.693585
2028,550931.158975,591331.42684
2029,561968.594942,601191.842285
2030,569928.891061,608181.353839
2031,582210.046571,619154.522426
