year,Base case cost,Modeled residential ashp
2017,404147.144661,535792.696058
2018,429663.671084,556038.89038
2019,460344.848498,580472.309389
2020,479532.545226,595038.902836
2021,493924.921496,605829.635683
2022,500915.839063,609468.289208
2023,510489.406398,616036.094371
2024,515508.054117,617866.907868
2025,525190.770692,624419.764175
2026,535963.816203,632459.583404
2027,541047.883313,634525.693666
2028,550931.158975,641445.004935
2029,561968.594942,649669.784936
2030,569928.891061,655297.483997
2031,582210.046571,664483.46588
