year,Base case cost,Modeled transmission and interties
2021,689010.353638,2281782.57587
2022,706058.34693,2298367.62954
2023,719102.749857,2311063.60895
2024,729567.694506,2319349.7762
2025,740564.089204,2330058.57185
2026,754592.830047,2343739.91309
2027,767483.189482,2356288.49974
2028,778070.598707,2364700.36234
2029,789651.588458,2377921.56879
2030,796306.267325,2382579.77893
2031,809036.421528,2395033.34587
2032,822961.953232,2408609.19279
2033,838762.964454,2422125.18479
2034,854835.092222,2437779.49425
2035,862783.736425,2445553.15364
2036,877696.686914,2460112.86602
2037,885545.202846,2467789.26114
2038,900661.490745,2482536.02019
2039,912238.629408,2491976.63945
2040,929112.553554,2508435.24957
