year,Base case diesel consumed,Modeled transmission and interties
2021,198562.061567,0.0
2022,198330.996329,0.0
2023,198099.93109,0.0
2024,197714.822359,0.0
2025,197483.757121,0.0
2026,197021.626644,0.0
2027,196790.561406,0.0
2028,196482.474421,0.0
2029,195943.322198,0.0
2030,195173.104737,0.0
2031,194479.909021,0.0
2032,194094.800291,0.0
2033,193709.69156,0.0
2034,193401.604575,0.0
2035,193016.495844,0.0
2036,192477.343621,0.0
2037,192092.234891,0.0
2038,191630.104414,0.0
2039,191244.995683,0.0
2040,190782.865206,0.0
