year,Base case cost,Modeled non-residential ashp
2017,499210.762817,581233.747794
2018,541775.572227,621861.046139
2019,591594.095987,668980.893772
2020,619730.5604,695802.618535
2021,640324.628201,715566.32445
2022,658903.234586,733452.962597
2023,673050.276778,747184.823847
2024,687347.559481,761066.925608
2025,709144.538088,782448.723272
2026,726258.564929,799009.175524
2027,742339.820978,814606.053806
2028,763704.990835,835625.239544
2029,781470.059889,852836.734008
2030,794302.763049,865392.649873
2031,812418.393295,882954.705529
