year,Base case cost,Modeled transmission and interties
2021,637340.389069,1932422.69304
2022,661519.195356,1960020.82163
2023,676721.48497,1979046.6572
2024,693165.847104,1997725.69932
2025,712604.436175,2020896.53831
2026,733916.921258,2045660.52314
2027,754092.124057,2069378.73097
2028,771118.996631,2089984.07981
2029,793146.520982,2114613.85585
2030,807941.977908,2132880.06337
2031,831040.520129,2159731.5841
2032,855049.812797,2188645.68123
2033,880127.041269,2216508.60272
2034,908050.557517,2250071.3073
2035,928762.039768,2273701.1873
2036,953973.338102,2304037.64605
2037,974469.075746,2327388.39197
2038,1000931.6928,2359212.74137
2039,1027677.85991,2390674.25167
2040,1059953.25308,2429062.9647
