year,Base case cost,Modeled non-residential ashp
2017,382059.24241,466599.477895
2018,404265.039135,488420.56756
2019,435659.441403,519271.073638
2020,450973.783972,534320.100993
2021,460928.106642,544101.968774
2022,468585.277927,551626.482452
2023,473945.297826,556893.642026
2024,478539.600597,561408.350233
2025,483133.903368,565923.05844
2026,490025.357524,572695.12075
2027,495385.377424,577962.280324
2028,499213.963066,581724.537163
2029,505339.700094,587744.148105
2030,509168.285736,591506.404944
2031,515294.022764,597526.015886
