year,Base case cost,Modeled transmission and interties
2021,261753.073837,2330120.37475
2022,270692.396339,2337415.89911
2023,277486.628261,2343255.22639
2024,283593.286688,2348416.337
2025,289751.968329,2353620.59882
2026,298233.486536,2360420.26879
2027,305270.493463,2366462.23341
2028,310836.977504,2371732.50684
2029,318756.644984,2377950.01998
2030,324422.840188,2382632.18987
2031,332468.230439,2389627.32511
2032,341365.934368,2396760.82018
2033,349955.834273,2403616.79267
2034,358608.162036,2410521.51072
2035,364149.501523,2415768.70296
2036,372912.812145,2423460.95379
2037,379748.66264,2428524.97252
2038,389053.014702,2436686.56279
2039,396390.889225,2442965.74083
2040,406214.606387,2450952.25885
