year,annotation,consumption,consumption residential,consumption non-residential
2003,,746556.0,285812.0,460744.0
2004,,739803.0,294805.0,444998.0
2005,,696966.0,273531.0,423435.0
2006,,668747.0,281789.0,386958.0
2007,,645623.0,251696.0,393927.0
2008,,660335.0,234318.0,426017.0
2009,,700423.0,238435.0,461988.0
2010,,685196.0,229940.0,455256.0
2011,,700490.0,245234.0,455256.0
2012,,709312.0,252642.0,456670.0
2013,,698226.0,251116.0,447110.0
2014,start of forecast,712634.0,257378.0,455256.0
2015,,716739.0,261483.0,455256.0
2016,,720972.0,265716.0,455256.0
2017,,725231.0,269975.0,455256.0
2018,,729576.0,274320.0,455256.0
2019,,734031.0,278775.0,455256.0
2020,,738470.0,283214.0,455256.0
2021,,742810.0,287554.0,455256.0
2022,,747133.0,291877.0,455256.0
2023,,751408.0,296152.0,455256.0
2024,,755727.0,300471.0,455256.0
2025,,760033.0,304777.0,455256.0
2026,,764347.0,309091.0,455256.0
2027,,768559.0,313303.0,455256.0
2028,,772701.0,317445.0,455256.0
2029,,777473.0,322217.0,455256.0
2030,,782067.0,326811.0,455256.0
2031,,786430.0,331174.0,455256.0
2032,,790230.0,334974.0,455256.0
2033,,793827.0,338571.0,455256.0
2034,,797405.0,342149.0,455256.0
2035,,801099.0,345843.0,455256.0
2036,,805004.0,349748.0,455256.0
2037,,809089.0,353833.0,455256.0
2038,,813067.0,357811.0,455256.0
2039,,816739.0,361483.0,455256.0
2040,,820159.0,364903.0,455256.0
