year,Base case cost,Modeled residential energy efficiency
2017,634445.831914,615146.969403
2018,678770.126058,652142.553869
2019,738784.213022,701795.361635
2020,774205.692994,732162.55907
2021,801529.528618,756201.111046
2022,825486.194247,777630.635407
2023,845917.038962,796292.481234
2024,876894.71058,825753.868092
2025,896579.226729,843922.09948
2026,920565.190496,865633.636106
2027,942106.591629,885406.038351
2028,961097.662851,903133.538939
2029,984513.576848,924527.739921
2030,1003910.0893,942660.681741
2031,1027837.21181,964566.091233
2032,1053515.45202,987969.904304
2033,1079510.99407,1011691.01921
2034,1105823.83795,1035729.43595
2035,1126366.16258,1055008.18994
2036,1153243.09861,1079610.69883
