year,Base case cost,Modeled transmission and interties
2021,165791.372569,1366029.39379
2022,171418.755972,1354522.66528
2023,175314.636789,1341054.4715
2024,178344.766314,1327985.25955
2025,182240.647132,1315305.67846
2026,186569.403596,1304191.60756
2027,190465.284413,1292856.61171
2028,193928.289584,1281291.98223
2029,197878.692907,1270285.25223
2030,200470.990194,1258822.89215
2031,205223.53522,1249472.60763
2032,209976.080246,1240452.35318
2033,215160.67482,1232345.76875
2034,219913.219846,1224553.92556
2035,223369.616229,1215295.32196
2036,228117.204664,1207660.97085
2037,231135.768809,1198398.6249
2038,236741.673649,1191783.5112
2039,240622.684693,1184267.4555
2040,246228.589533,1178795.12689
