year,Base case diesel consumed,Modeled wind power,Marshall wind energy final design and permitting project
2019,129439.846588,91745.4271632,68988.4493781
2020,130476.550165,92782.13074,70025.1529548
2021,131587.303997,93892.8845723,71135.9067871
2022,132624.007574,94929.5881491,72172.6103639
2023,133734.761406,96040.3419813,73283.3641962
2024,134919.565494,97225.1460691,74468.168284
2025,136030.319326,98335.8999014,75578.9221162
2026,137215.123414,99520.7039891,76763.726204
2027,138473.977757,100779.558332,78022.5805473
2028,139658.781845,101964.36242,79207.384635
2029,140917.636188,103223.216763,80466.2389783
2030,142176.490532,104482.071107,81725.0933215
2031,143509.39513,105814.975705,83057.9979202
2032,144842.299729,107147.880304,84390.902519
2033,146175.204328,108480.784903,85723.8071177
2034,147582.159182,109887.739757,87130.7619719
2035,148915.063781,111220.644356,88463.6665707
2036,150396.06889,112701.649466,89944.6716804
2037,151803.023745,114108.60432,91351.6265346
2038,153284.028854,115589.609429,92832.6316443
