year,Base case cost,Modeled transmission and interties
2021,1015853.98686,2560978.88978
2022,1050382.13999,2577747.21376
2023,1080576.87216,2589064.63036
2024,1106340.43705,2596171.64914
2025,1134492.86318,2606290.46906
2026,1169072.85149,2623745.37472
2027,1201954.12693,2639867.2062
2028,1228997.28024,2650202.26829
2029,1265440.37297,2671007.9374
2030,1290962.53403,2680606.83684
2031,1328896.99891,2703865.50848
2032,1367311.30944,2728044.45398
2033,1406205.46563,2753134.08638
2034,1449256.80317,2783059.33951
2035,1480215.73398,2800465.42828
2036,1525016.13855,2833023.44876
2037,1557499.02362,2852804.81265
2038,1603350.94182,2887201.22279
2039,1644391.07441,2916833.68456
2040,1694509.76833,2954849.41751
