year,Base case cost,Modeled non-residential ashp
2017,154554.777958,199457.794248
2018,168882.640224,213067.179495
2019,188941.647396,232120.318841
2020,198766.467235,241452.468725
2021,205316.347128,247673.901981
2022,210638.124541,252728.816502
2023,213913.064488,255839.533129
2024,216778.636941,258561.410179
2025,220462.94438,262060.966385
2026,224556.619314,265949.36217
2027,228240.926753,269448.918377
2028,231106.499206,272170.795426
2029,235200.174139,276059.191211
2030,237656.379099,278392.228682
2031,242159.421526,282669.464046
