year,Base case cost,Modeled transmission and interties
2021,155919.396269,344331.522204
2022,161339.054428,348363.778674
2023,164674.22868,351140.499557
2024,167592.50615,353526.501696
2025,171344.577183,356344.912258
2026,175513.544998,359903.070628
2027,179265.616031,362721.481189
2028,182183.893501,365107.483328
2029,186352.861316,368316.612633
2030,188854.242005,370311.896029
2031,193440.106601,373911.744077
2032,198025.971197,377511.592125
2033,202611.835793,381111.440174
2034,206753.070131,384695.86006
2035,210081.087356,387118.342238
2036,215073.113194,391100.345582
2037,217985.128267,393132.947469
2038,222977.154105,397114.950813
2039,226721.173484,400275.593359
2040,232129.201475,404647.476994
