year,Base case cost,Modeled residential ashp
2017,4163656.36385,8177925.32459
2018,4463608.84698,8346627.36074
2019,4901697.39819,8637998.16334
2020,5089930.85255,8712436.36176
2021,5206005.64527,8724103.12446
2022,5297647.88507,8717740.79914
2023,5341225.68947,8669670.63301
2024,5373462.81358,8615102.72644
2025,5427918.95453,8581680.54709
2026,5479954.18553,8546188.39862
2027,5532669.06064,8514619.97217
2028,5562254.10292,8464592.04339
2029,5651773.09925,8471788.33229
2030,5694058.11005,8437808.49404
2031,5769484.12519,8434181.45215
