year,Base case cost,Scammon bay wind feasibility,Modeled wind power
2019,386054.059955,571891.829667,616748.984246
2020,409693.179127,591565.848944,633178.39443
2021,428213.661649,607054.196253,646185.570078
2022,441561.971518,618303.33559,655716.975189
2023,451011.075898,626352.992949,662621.476397
2024,459439.278459,633614.989658,668929.176314
2025,468995.454843,641771.719021,675940.749525
2026,481553.365125,652463.699941,685105.855578
2027,491501.395302,661012.283097,692509.282583
2028,501511.884149,669623.324922,699975.168257
2029,512941.820608,679420.573189,708436.401015
2030,520358.044017,685903.831917,714156.22231
2031,533575.488104,697255.346642,723980.862166
2032,546592.172182,708406.101359,733604.742015
2033,558313.582431,718494.823416,742357.448563
2034,573183.207029,731265.277481,753410.168402
2035,582598.107851,739513.972452,760704.566581
2036,596261.685289,751311.620528,770975.339789
2037,605813.40034,759697.129727,778406.552196
2038,619649.482673,771667.282699,788849.8303
