year,Base case cost,Modeled non-residential ashp
2017,302923.358361,460869.728347
2018,334653.892844,490165.678047
2019,374437.004771,526731.660085
2020,401134.614177,551951.128731
2021,425624.766167,575310.937787
2022,452560.999105,601464.625617
2023,472554.770842,620936.700615
2024,497076.92814,645024.11063
2025,517744.454955,665169.940706
2026,545804.227833,692534.117932
2027,567226.360335,713434.553695
2028,594281.221916,739967.718538
2029,622808.746458,767886.596884
2030,648607.161513,793337.214114
2031,679146.353078,823180.810027
