year,Base case diesel consumed,Scammon bay wind feasibility,Modeled wind power
2019,130865.783036,103452.924084,81021.2038707
2020,131311.916387,103899.057435,81467.337222
2021,131758.049738,104345.190787,81913.4705732
2022,132204.183089,104791.324138,82359.6039245
2023,132650.316441,105237.457489,82805.7372757
2024,133170.80535,105757.946399,83326.2261855
2025,133616.938702,106204.07975,83772.3595368
2026,134137.427611,106724.56866,84292.8484466
2027,134657.916521,107245.05757,84813.3373564
2028,135178.405431,107765.54648,85333.8262662
2029,135698.894341,108286.035389,85854.315176
2030,136219.383251,108806.524299,86374.8040858
2031,136814.227719,109401.368768,86969.6485541
2032,137334.716629,109921.857677,87490.1374639
2033,137855.205539,110442.346587,88010.6263737
2034,138450.050007,111037.191056,88605.4708421
2035,139044.894475,111632.035524,89200.3153104
2036,139639.738944,112226.879992,89795.1597788
2037,140234.583412,112821.724461,90390.0042471
2038,140829.42788,113416.568929,90984.8487155
