year,Base case cost,Modeled non-residential ashp
2017,8004765.22981,9822680.40939
2018,8406283.18833,10156073.3206
2019,8958370.3813,10630641.4998
2020,9226049.02032,10841267.956
2021,9410078.08464,10974897.7361
2022,9543917.40415,11062670.7343
2023,9627566.97884,11104566.2104
2024,9711216.55353,11147305.6089
2025,9811596.04316,11206449.7165
2026,9911975.53279,11266398.6511
2027,10012355.0224,11327133.5498
2028,10096004.5971,11373055.4254
2029,10196384.0867,11435307.4205
2030,10263303.7465,11467130.2695
2031,10380413.1511,11546409.6468
