year,Base case cost,Modeled non-residential ashp
2017,111133.421044,138348.472263
2018,121676.055925,147869.730896
2019,136435.744758,161361.807792
2020,143062.543826,167221.978386
2021,147882.034057,171392.788117
2022,151496.65173,174440.012464
2023,153906.396846,176363.455322
2024,156014.923822,178011.88962
2025,158424.668937,179951.104627
2026,161135.632192,182180.917705
2027,163846.595447,184418.162352
2028,165653.904284,185813.699953
2029,168666.085679,188348.277431
2030,170172.176376,189474.835368
2031,173184.35777,192023.093005
