year,annotation,diesel generation efficiency
2002,,12.03
2003,,12.71
2004,,12.69
2005,,11.96
2006,,12.22
2007,,12.61
2008,,12.2
2009,,11.83
2010,,12.45
2011,,11.99
2012,,11.76
2013,,12.72
2014,start of forecast,12.16
2015,,12.16
2016,,12.16
2017,,12.16
2018,,12.16
2019,,12.16
2020,,12.16
2021,,12.16
2022,,12.16
2023,,12.16
2024,,12.16
2025,,12.16
2026,,12.16
2027,,12.16
2028,,12.16
2029,,12.16
2030,,12.16
2031,,12.16
2032,,12.16
2033,,12.16
2034,,12.16
2035,,12.16
2036,,12.16
2037,,12.16
2038,,12.16
2039,,12.16
2040,,12.16
