year,Base case cost,Modeled non-residential ashp
2017,154706.926605,258101.403686
2018,166496.055536,256449.947294
2019,182108.685742,254262.883424
2020,189437.063186,253236.302423
2021,194535.064886,252522.159119
2022,198358.566161,251986.55164
2023,200907.567011,251629.479988
2024,202819.317648,251361.676249
2025,205368.318498,251004.604596
2026,208554.569561,250558.265031
2027,211103.570411,250201.193379
2028,213333.946155,249888.755683
2029,216201.572111,249487.050074
2030,227919.382037,259388.564686
2031,231253.753264,259090.345285
