year,Base case cost,Modeled non-residential ashp
2017,86575.0246042,120296.047691
2018,93199.2253964,127239.778466
2019,102762.415396,137384.857647
2020,107425.786189,142208.786885
2021,110613.646189,145434.789146
2022,113070.456981,147871.273953
2023,114787.066981,149508.958133
2024,116017.947773,150623.545659
2025,117739.428565,152276.68383
2026,119701.428565,154196.808406
2027,116115.880125,150553.010269
2028,117528.130917,151890.520219
2029,119409.62171,153744.747573
2030,120347.86171,154574.92471
2031,122464.122502,156694.462421
