year,Base case cost,Modeled non-residential ashp
2017,64913.4064772,98070.8697562
2018,70215.0087249,103243.772315
2019,77344.7496787,110200.434376
2020,80818.2132203,113589.577431
2021,83194.7935382,115908.464785
2022,85022.9322443,117692.224288
2023,86302.6293386,118940.85594
2024,87216.6986916,119832.735692
2025,88496.3957859,121081.367344
2026,90141.7206214,122686.750896
2027,91421.4177156,123935.382548
2028,92335.4870687,124827.2623
2029,93797.9980336,126254.269902
2030,94712.0673866,127146.149654
2031,96357.3922221,128751.533206
