year,Base case cost,Modeled transmission and interties
2021,230066.778204,1852974.05844
2022,235417.168395,1833430.9013
2023,239532.853157,1812276.68985
2024,241914.010156,1791188.45376
2025,246117.948777,1771689.99409
2026,250645.202015,1753552.73239
2027,254349.318301,1735072.82796
2028,258173.086453,1716781.90869
2029,262297.257163,1699791.58767
2030,265316.557449,1682095.43822
2031,269862.479772,1666105.85717
2032,274971.869041,1651615.10282
2033,279527.125908,1637023.72128
2034,284496.497035,1622888.63912
2035,287984.221648,1608029.78825
2036,293562.883839,1595844.89854
2037,295868.515901,1580188.87677
2038,300848.070165,1568228.82558
2039,304582.735864,1554896.82026
2040,309562.290129,1544182.12814
