year,Base case cost,Modeled non-residential ashp
2017,298794.140605,346201.094292
2018,321797.461559,366933.348732
2019,351920.858046,394356.36229
2020,366161.009113,406915.613655
2021,376019.575236,415387.69691
2022,383139.650769,421311.757946
2023,388616.631949,425713.760613
2024,392450.518775,428593.294332
2025,397379.801836,432515.918844
2026,403404.481134,437481.242586
2027,408333.764195,441436.114627
2028,412715.349139,444893.353683
2029,418192.330318,449392.171499
2030,421478.519026,451853.059126
2031,427503.198323,456894.398039
