year,annotation,consumption,consumption residential,consumption non-residential
2003,,399202.0,174299.0,224903.0
2004,,376234.0,154850.0,221384.0
2005,,345912.0,129079.0,216833.0
2006,,428725.0,180130.0,248595.0
2007,,436234.0,189956.0,246278.0
2008,,559404.0,217105.0,342299.0
2009,,459474.0,210730.0,248744.0
2010,,604775.0,232220.0,372555.0
2011,,212335.0,86239.0,126096.0
2012,,464480.0,202696.0,261784.0
2013,,470245.0,205104.0,265141.0
2014,,443113.0,208409.0,234704.0
2015,,410952.0,208177.0,202775.0
2016,start of forecast,424115.0,189908.0,234207.0
2017,,424165.0,189958.0,234207.0
2018,,424513.0,190307.0,234207.0
2019,,425130.0,190924.0,234207.0
2020,,424311.0,190104.0,234207.0
2021,,424398.0,190191.0,234207.0
2022,,424481.0,190274.0,234207.0
2023,,424538.0,190332.0,234207.0
2024,,423659.0,189452.0,234207.0
2025,,423825.0,189618.0,234207.0
2026,,424085.0,189878.0,234207.0
2027,,424435.0,190228.0,234207.0
2028,,425009.0,190803.0,234207.0
2029,,425421.0,191215.0,234207.0
2030,,425641.0,191435.0,234207.0
2031,,425915.0,191708.0,234207.0
2032,,426358.0,192152.0,234207.0
2033,,426462.0,192255.0,234207.0
2034,,426863.0,192656.0,234207.0
2035,,427863.0,193657.0,234207.0
2036,,428082.0,193875.0,234207.0
2037,,427866.0,193659.0,234207.0
2038,,427786.0,193579.0,234207.0
2039,,427693.0,193487.0,234207.0
2040,,427591.0,193385.0,234207.0
