year,Base case cost,Modeled non-residential ashp
2017,84912.0794162,96010.5629515
2018,89935.5002254,100591.860476
2019,96785.6195107,106839.084372
2020,99754.0045343,109546.214728
2021,102037.377629,111628.622693
2022,103635.738796,113086.308269
2023,104549.088034,113919.271455
2024,105462.437272,114752.234642
2025,106604.12382,115793.438624
2026,107974.147677,117042.883404
2027,108887.496915,117875.84659
2028,109800.846153,118708.809776
2029,110942.5327,119750.013759
2030,111855.881938,120582.976945
2031,112997.568486,121624.180928
