year,Base case cost,Modeled non-residential ashp
2017,305992.97057,481762.292796
2018,325894.337201,504555.55196
2019,353258.716318,536605.304724
2020,366318.98817,551034.113072
2021,375025.836071,560127.404354
2022,381866.93085,566955.841818
2023,386220.354801,570750.616223
2024,389951.861044,573814.535142
2025,394927.202702,578450.426981
2026,400524.462066,583889.545008
2027,404877.886017,587827.364639
2028,408609.39226,591030.976164
2029,414206.651625,596571.185426
2030,417316.240161,599071.929226
2031,422913.499526,604675.645469
