year,Base case diesel consumed,Kwethluk wind feasibility,Modeled wind power
2019,111253.113707,93001.874255,94220.3518888
2020,112059.29569,93808.0562384,95026.5338722
2021,112865.477674,94614.2382218,95832.7158556
2022,113525.081115,95273.8416627,96492.3192966
2023,114111.395284,95860.1558324,97078.6334663
2024,114624.420183,96373.180731,97591.6583648
2025,115210.734352,96959.4949007,98177.9725345
2026,115797.048522,97545.8090704,98764.2867043
2027,116749.809048,98498.5695962,99717.0472301
2028,117409.412489,99158.1730372,100376.650671
2029,117922.437387,99671.1979357,100889.67557
2030,118508.751557,100257.512105,101475.989739
2031,119095.065727,100843.826275,102062.303909
2032,119754.669168,101503.429716,102721.90735
2033,120487.56188,102236.322428,103454.800062
2034,121147.165321,102895.925869,104114.403503
2035,121806.768762,103555.52931,104774.006944
2036,122466.372203,104215.132751,105433.610385
2037,123345.843458,105094.604006,106313.08164
2038,124078.73617,105827.496718,107045.974352
