year,Base case cost,Modeled non-residential ashp
2017,448132.353466,577728.775657
2018,480387.697996,606082.853725
2019,523862.292798,644299.219816
2020,544898.387057,662791.009861
2021,558922.449897,675118.86989
2022,570141.700168,684981.157914
2023,577153.731588,691145.087928
2024,582763.356723,696076.23194
2025,589775.388143,702240.161955
2026,599592.232131,710869.663975
2027,606604.26355,717033.59399
2028,612213.888686,721964.738002
2029,620628.32639,729361.45402
2030,626237.951525,734292.598031
2031,634652.389229,741689.314049
