year,Base case cost,Modeled residential ashp
2017,1808163.74736,1880815.7625
2018,2057374.20878,1961094.08911
2019,2390182.66754,2062402.95571
2020,2578283.26828,2137882.13323
2021,2715923.58277,2200441.49892
2022,2851386.28844,2273336.74725
2023,2949652.64581,2334062.63022
2024,3061706.50807,2408576.01807
2025,3175838.19784,2485167.23344
2026,3310229.17818,2569504.24791
2027,3444552.95264,2660030.80223
2028,3556087.12187,2740281.24279
2029,3718189.34264,2852329.49768
2030,3850995.54202,2960108.71413
2031,4043438.86303,3096241.32353
