year,Base case cost,Modeled non-residential ashp
2017,237099.881416,297775.09983
2018,264822.251416,320670.121534
2019,303275.861416,352658.154007
2020,322055.531416,368012.630442
2021,334575.311416,378083.069674
2022,344408.430093,385891.94499
2023,347717.675986,387601.757786
2024,353020.564662,391592.127878
2025,360096.324662,397091.548616
2026,368052.393339,403344.805269
2027,375123.832016,408861.928679
2028,380430.532016,412900.17048
2029,388381.79937,419180.510948
2030,388455.893939,418144.274104
2031,397202.293939,425102.162589
