year,Base case cost,Modeled transmission and interties
2021,240377.489941,214109.451804
2022,248246.921977,219150.72519
2023,253527.135755,222052.023611
2024,258402.795119,224842.55068
2025,264364.529288,228461.178023
2026,270850.421008,232527.416246
2027,277095.746747,236486.547688
2028,281424.297139,238846.517001
2029,288640.152051,243671.051841
2030,292646.09587,245865.478317
2031,300292.422105,251067.195568
2032,306885.424649,255401.440488
2033,313855.336449,260036.396538
2034,321168.718804,265009.686949
2035,326290.515161,268210.41402
2036,333606.897253,273234.108984
2037,337995.930708,275880.046661
2038,345649.492591,281187.97279
2039,351495.617157,285072.358269
2040,359853.803237,290998.611199
