year,Base case cost,Modeled transmission and interties
2021,229630.628913,2375081.78044
2022,235614.48895,2380986.58966
2023,240102.383978,2385225.68147
2024,243842.296501,2389389.97502
2025,248330.191529,2393629.06683
2026,253566.069061,2398701.01734
2027,258053.964088,2402940.10914
2028,261793.876611,2407104.4027
2029,267029.754144,2412176.35321
2030,270021.684162,2414749.72759
2031,275257.561694,2420579.73857
2032,280493.439226,2425651.68908
2033,286477.299263,2430798.43785
2034,292461.1593,2436703.24707
2035,295453.089319,2440792.74237
2036,301436.949355,2445939.49114
2037,304870.766731,2449784.46665
2038,310848.624902,2454926.05318
2039,315332.018531,2459918.19326
2040,322057.108973,2465891.80313
