year,Base case cost,Modeled residential ashp
2017,18728.8326966,194386.820483
2018,20177.4393586,192026.378563
2019,23307.2884638,191055.91195
2020,24376.7419888,188713.558866
2021,25052.1863203,186271.582785
2022,25615.0565965,183846.322275
2023,26009.0657899,181412.706395
2024,26290.5009281,178992.847394
2025,26684.5101215,176679.614964
2026,27134.8063425,174448.040916
2027,27528.8155359,172249.615276
2028,27810.250674,170059.43426
2029,29583.4900091,169317.01425
2030,29878.0997924,167246.930014
2031,30349.4754458,165307.062411
