year,Base case cost,Modeled non-residential ashp
2017,819.054368246,4347.23656194
2018,882.405225907,4365.9954778
2019,971.565692245,4409.10347884
2020,1016.14592541,4412.61126416
2021,1044.30186215,4402.06923249
2022,1067.76514277,4388.11173792
2023,1084.1894392,4368.58801105
2024,1095.92107951,4345.6096091
2025,1112.34537594,4327.68134922
2026,1131.11600043,4312.65382389
2027,1147.54029686,4296.24712239
2028,1159.27193717,4276.31269072
2029,1178.04256166,4263.48799347
2030,1189.77420197,4244.97062319
2031,1208.54482646,4233.52977416
