year,annotation,consumption,consumption residential,consumption non-residential
2003,,11568914.0,4297389.0,7271525.0
2004,,11581569.0,4456926.0,7124643.0
2005,,11362501.0,4300812.0,7061689.0
2006,,11028734.0,4350092.0,6678642.0
2007,,10868569.0,4198806.0,6669763.0
2008,,10750074.0,4099610.0,6650464.0
2009,,10906614.0,4367275.0,6539339.0
2010,,9708731.0,4321785.0,5386946.0
2011,,9201098.0,4301403.0,4899695.0
2012,,9066722.0,4385517.0,4681205.0
2013,,8851794.0,4217885.0,4633909.0
2014,,8012968.0,3948544.0,4064424.0
2015,,8149994.0,4035090.0,4114904.0
2016,start of forecast,8519756.0,4248677.0,4271079.0
2017,,8517986.0,4246907.0,4271079.0
2018,,8516330.0,4245251.0,4271079.0
2019,,8515223.0,4244144.0,4271079.0
2020,,8513857.0,4242778.0,4271079.0
2021,,8512297.0,4241218.0,4271079.0
2022,,8510810.0,4239731.0,4271079.0
2023,,8509173.0,4238094.0,4271079.0
2024,,8507732.0,4236653.0,4271079.0
2025,,8506329.0,4235250.0,4271079.0
2026,,8505044.0,4233965.0,4271079.0
2027,,8503659.0,4232580.0,4271079.0
2028,,8502243.0,4231164.0,4271079.0
2029,,8502345.0,4231266.0,4271079.0
2030,,8502278.0,4231199.0,4271079.0
2031,,8501717.0,4230638.0,4271079.0
2032,,8500131.0,4229052.0,4271079.0
2033,,8498134.0,4227055.0,4271079.0
2034,,8496234.0,4225155.0,4271079.0
2035,,8494700.0,4223621.0,4271079.0
2036,,8493702.0,4222623.0,4271079.0
2037,,8493381.0,4222302.0,4271079.0
2038,,8492744.0,4221665.0,4271079.0
2039,,8491734.0,4220655.0,4271079.0
2040,,8490305.0,4219226.0,4271079.0
